credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec
1,home_improvement,0.0894,333.61,10.30895266,2.84,762,4380.0,3257,15.1,1,0,0
1,debt_consolidation,0.1287,269.07,10.81977828,5.3,692,8070.0,7710,35.1,0,2,0
1,educational,0.08,156.69,11.36210258,6.39,777,3509.958333,0,0.0,0,0,0
1,debt_consolidation,0.0705,92.7,10.89673933,13.67,797,9930.041667,6015,43.9,1,0,0
1,debt_consolidation,0.1253,167.34,11.24504602,23.29,712,4530.041667,40752,89.5,0,0,0
0,debt_consolidation,0.1843,691.03,11.12726298,20.12,662,1640.041667,1890,19.1,5,4,0
1,debt_consolidation,0.1292,201.94,10.61643736,15.32,667,2700.0,7091,47.3,2,2,0
1,debt_consolidation,0.0963,115.54,10.91501573,1.24,722,6359.958333,1919,19.8,2,0,1
1,debt_consolidation,0.0951,461.35,11.38586452,9.96,732,5250.041667,4765,16.5,0,0,1
1,debt_consolidation,0.1136,724.05,11.60823564,8.51,717,7920.041667,20418,74.8,0,0,0
0,all_other,0.1064,35.83,9.547098282,4.2,687,3210.0,1032,9.5,4,0,0
0,small_business,0.1039,324.51,10.81977828,20.09,737,5039.041667,117814,49.4,0,0,0
1,credit_card,0.1136,493.67,10.81977828,4.1,767,3799.041667,5694,21.2,2,0,0
1,credit_card,0.1357,271.75,11.184421400000002,14.28,682,4740.0,8180,88.1,1,0,0
1,debt_consolidation,0.07400000000000001,201.89,9.798127037,14.13,772,7169.958333,6954,25.3,0,0,0
0,debt_consolidation,0.1218,466.2,10.73630972,5.32,727,2280.041667,11781,37.8,5,0,0
1,credit_card,0.1392,546.2,11.39751461,16.51,692,5790.0,10852,60.9,0,5,0
1,debt_consolidation,0.1719,214.48,10.83958091,4.8,667,2700.041667,6451,97.7,0,0,0
0,all_other,0.1103,229.28,10.30895266,14.09,697,780.0,1819,26.0,0,0,0
1,credit_card,0.1322,202.81,10.30895266,5.2,682,1684.9583329999998,6001,31.8,0,0,0
1,debt_consolidation,0.0859,316.11,10.95960979,8.31,757,8430.041667,20627,21.9,0,0,0
1,debt_consolidation,0.1221,266.52,11.22524339,14.58,712,5730.041667,30692,92.4,1,0,0
1,all_other,0.0774,280.97,11.68687877,8.47,787,6120.958333,2525,7.3,0,0,0
1,small_business,0.0988,322.11,11.15625052,11.78,732,5667.041667,7875,25.8,3,0,0
1,all_other,0.1099,589.24,11.314133,22.82,717,3750.041667,18940,72.2,0,1,0
1,small_business,0.0964,90.68,11.15625052,18.0,732,3691.0,55720,10.0,2,0,0
1,debt_consolidation,0.1183,99.41,10.645424900000002,14.46,697,3090.041667,6297,76.8,1,0,0
1,all_other,0.1083,52.26,10.27931786,5.36,702,3780.041667,7020,42.0,0,1,0
1,all_other,0.1426,34.31,9.903487553,8.34,667,1710.0416670000002,3449,69.0,1,0,0
1,educational,0.1062,182.34,11.22524339,14.32,707,5910.0,15055,88.0,1,0,0
1,debt_consolidation,0.1099,98.21,10.66895539,9.82,687,6462.041667,14338,34.2,1,0,0
1,educational,0.0768,109.17,9.741203889,2.26,752,1800.0,1223,10.7,0,0,0
1,debt_consolidation,0.1126,345.07,11.03650127,3.61,722,3690.0,14080,31.2,0,0,0
1,home_improvement,0.0712,92.8,11.44035477,0.0,812,8250.0,368,1.2,0,0,0
1,debt_consolidation,0.1565,349.87,11.32055357,22.23,662,6960.041667,35876,80.8,1,0,0
0,major_purchase,0.1878,146.18,10.49127422,19.2,677,1290.041667,3014,55.8,9,0,0
1,debt_consolidation,0.16,215.34,11.1123882,16.25,667,4859.958333,5636,49.9,2,1,0
1,debt_consolidation,0.1385,682.08,11.15625052,8.16,697,3480.041667,3153,28.9,2,0,0
1,debt_consolidation,0.1357,118.89,11.00209984,15.06,677,3750.041667,24235,38.0,2,1,0
1,all_other,0.08,188.02,10.59663473,13.23,752,3960.0,11965,58.9,0,0,0
1,debt_consolidation,0.0963,189.36,10.04324949,8.19,727,2309.958333,5898,57.8,0,0,0
0,all_other,0.0963,385.14,11.28978191,7.41,767,11764.0,199390,23.2,1,0,0
1,debt_consolidation,0.1253,284.47,11.14739716,22.05,692,7020.0,33321,83.5,1,0,0
0,all_other,0.1496,97.01,9.708931458,16.18,677,2131.958333,807,23.1,4,1,0
1,debt_consolidation,0.1311,269.96,10.59663473,17.82,702,6714.041667,20155,59.6,1,0,0
0,debt_consolidation,0.1797,361.38,11.28978191,29.72,672,8489.958333,25879,77.2,2,3,0
1,debt_consolidation,0.16699999999999998,647.9,10.93310697,23.72,707,6929.958333,27298,99.3,2,0,0
0,debt_consolidation,0.1109,65.57,10.59663473,9.98,672,390.0,0,0.0,0,0,0
1,home_improvement,0.0832,157.43,10.33501019,10.13,742,4307.0,20337,39.2,3,0,0
0,debt_consolidation,0.1287,465.82,10.6561293,21.14,702,3600.0,42470,82.6,2,0,0
0,all_other,0.1726,53.68,9.586582621,5.27,687,2309.958333,2308,69.9,8,0,0
1,major_purchase,0.1183,497.01,12.35879373,8.53,727,4920.958333,23474,38.1,1,0,0
1,debt_consolidation,0.1287,504.5,10.54534144,21.98,702,1920.0416670000002,15432,64.0,2,0,0
1,all_other,0.087,557.23,11.938193199999999,0.12,757,1128.041667,1032,5.0,0,0,0
1,all_other,0.1025,485.78,11.69524702,14.2,732,13410.04167,19962,49.0,1,0,0
1,debt_consolidation,0.1189,198.99,10.5454467,22.58,722,4680.0,17511,47.7,3,0,0
1,debt_consolidation,0.0859,410.94,11.51292546,18.35,782,5580.041667,6031,5.8,2,0,0
1,credit_card,0.0894,457.51,10.54534144,23.4,747,4860.0,15373,48.0,0,0,0
1,credit_card,0.0938,431.69,11.51292546,10.6,752,6964.041667,18640,44.9,0,0,0
1,debt_consolidation,0.0894,190.63,10.99851024,17.58,722,3030.041667,6908,32.0,2,0,0
0,credit_card,0.1039,48.68,8.922658300000002,4.96,687,600.0,1954,43.4,1,0,0
0,debt_consolidation,0.145,189.32,10.59663473,4.89,642,4680.0,4030,62.0,0,0,0
1,debt_consolidation,0.1189,198.99,11.15625052,7.15,692,2669.958333,5217,44.6,3,0,0
1,debt_consolidation,0.1284,484.1,11.01856357,10.21,697,5310.0,4057,28.4,0,0,0
1,major_purchase,0.0963,215.04,9.510444964,6.4,807,9209.958333,35,1.7,0,0,0
1,home_improvement,0.1218,666.0,11.15625052,14.31,722,3000.0,2292,5.4,1,1,0
1,major_purchase,0.1284,268.95,11.95675836,8.21,707,6210.0,23021,78.3,3,0,0
0,major_purchase,0.0976,385.86,11.22524339,0.4,727,900.0416667000002,2130,17.9,1,0,0
1,debt_consolidation,0.1379,340.76,10.59663473,21.66,692,4049.958333,11998,48.2,0,0,0
1,home_improvement,0.1126,236.62,11.53272809,0.61,717,5699.958333,4452,45.4,0,0,1
1,all_other,0.0894,317.72,10.77895629,12.38,767,1830.0,1775,8.4,0,0,0
1,debt_consolidation,0.1025,809.62,11.91839057,7.66,787,6840.041667,8315,23.7,0,0,0
1,all_other,0.0963,96.29,11.32659589,18.88,717,1950.0,5033,17.1,1,0,0
1,debt_consolidation,0.1292,168.28,10.59653473,16.29,667,2729.958333,14244,85.8,2,0,0
1,credit_card,0.0963,481.42,10.57131693,11.57,812,4650.041667,1140,9.7,1,0,0
1,debt_consolidation,0.1114,485.5,10.30895266,15.52,737,4020.0,8458,28.6,1,0,0
1,all_other,0.1348,71.25,10.04324949,3.7,667,2910.0,1103,36.8,1,0,0
1,credit_card,0.1284,302.57,11.00209984,19.22,682,4179.958333,14309,57.0,1,0,0
0,debt_consolidation,0.1482,414.93,11.39639165,3.49,652,5190.0,8016,61.7,11,8,0
1,credit_card,0.0988,322.11,10.07005864,19.61,737,2970.0,12652,66.2,1,0,0
1,all_other,0.1183,82.84,10.08580911,7.2,692,3570.0,4484,65.0,0,0,0
1,credit_card,0.08,62.68,10.43399815,13.38,742,3330.041667,7713,32.4,1,0,0
1,debt_consolidation,0.1189,716.35,10.98529272,6.69,747,2580.0,2357,3.4,2,0,0
1,home_improvement,0.1062,651.2,11.46163217,1.53,732,5040.041667,3818,15.6,0,0,0
1,small_business,0.0768,155.95,10.23995979,0.43,792,2267.0,103,1.5,0,0,0
1,educational,0.1411,201.1,9.862665558,0.56,682,6540.0,0,0.0,2,0,0
0,all_other,0.1726,178.93,10.09410791,3.27,697,690.0416667000001,2526,32.4,2,0,0
1,debt_consolidation,0.1095,327.14,10.81977828,8.9,727,3179.958333,6048,26.8,1,0,0
1,debt_consolidation,0.1392,256.03,10.46310334,14.06,682,2010.0416670000002,13089,69.3,0,0,0
1,debt_consolidation,0.0963,192.57,10.69194491,4.99,732,4260.0,11741,14.6,0,0,0
1,all_other,0.0963,160.48,11.15619338,16.17,732,7680.0,9604,38.1,0,1,0
1,all_other,0.1496,207.87,10.81977828,19.58,702,2849.958333,14306,99.3,0,0,0
1,debt_consolidation,0.0788,187.69,10.78931908,18.09,722,3870.041667,23919,67.6,2,0,0
1,all_other,0.1095,327.14,11.35035948,3.81,777,9420.0,0,0.0,1,0,0
1,debt_consolidation,0.0774,199.8,9.655026193,12.69,757,5850.0,7633,28.8,0,1,0
1,all_other,0.1183,662.68,11.69524702,14.28,742,4770.0,14191,51.0,1,0,0
1,all_other,0.1253,66.94,10.59663473,19.2,697,3270.0,5396,89.9,3,0,0
1,home_improvement,0.1322,169.01,11.60823564,15.4,692,3842.041667,53761,92.1,2,0,0
0,home_improvement,0.1249,80.28,10.63055295,20.56,662,2070.0,18749,83.0,5,0,0
1,debt_consolidation,0.1322,84.51,10.54534144,15.6,692,15360.041669999999,3777,35.0,2,0,0
1,all_other,0.1183,99.41,10.77895629,23.93,712,5580.041667,0,0.0,2,0,0
1,debt_consolidation,0.1114,246.03,10.30895266,17.52,722,2819.958333,2639,21.3,2,0,0
0,all_other,0.087,158.31,10.24065669,1.8,722,900.0,827,51.7,2,0,0
0,all_other,0.1507,260.25,11.69524702,14.84,652,7260.0,21881,82.5,2,4,0
0,debt_consolidation,0.1392,512.06,11.98292909,13.47,692,2369.958333,15407,42.0,4,0,0
1,credit_card,0.0788,206.45,11.184421400000002,9.62,732,5132.0,11589,20.8,0,1,0
1,all_other,0.1284,168.09,10.97002421,0.23,767,3630.0,11,0.1,0,0,0
1,educational,0.1253,117.14,10.49127422,16.23,692,1559.958333,3146,40.3,2,0,0
1,all_other,0.1253,251.0,10.77895629,20.51,692,4710.0,12189,69.3,0,0,0
1,credit_card,0.0963,192.57,12.61153775,5.74,727,6201.0,132103,14.2,0,0,1
1,small_business,0.0963,417.23,10.645424900000002,16.14,787,3840.0,0,0.0,1,0,0
1,debt_consolidation,0.0964,192.6,9.798127037,2.87,697,1199.041667,1554,29.3,1,0,0
0,credit_card,0.1261,234.55,11.184421400000002,25.78,742,12218.95833,52964,71.1,3,0,0
0,small_business,0.1947,885.52,11.26446411,12.14,682,1799.9583329999998,22161,75.9,4,0,0
1,home_improvement,0.0788,450.44,11.47435094,1.91,777,5820.0,3351,0.4,2,0,0
1,all_other,0.0774,174.83,10.30895266,6.68,762,2965.041667,1251,7.3,1,0,0
1,all_other,0.1531,452.6,10.645424900000002,21.51,672,2760.041667,12425,55.6,0,0,0
1,all_other,0.1284,268.95,10.65140697,16.73,682,3600.0,4075,20.4,0,0,0
1,all_other,0.1411,684.58,11.35035948,19.27,702,5489.958333,17811,79.2,1,0,0
1,debt_consolidation,0.1284,84.05,10.66895539,8.76,687,5670.0,1580,14.0,1,0,0
1,small_business,0.1695,534.41,10.75790288,0.38,687,5640.0,5330,82.0,0,0,0
1,home_improvement,0.0751,311.1,11.00209984,15.92,767,5580.0,5527,17.8,0,0,0
0,debt_consolidation,0.1786,72.17,10.70099475,28.73,647,4709.0,6076,79.9,6,1,0
1,debt_consolidation,0.1221,374.8,11.15619338,19.01,717,4949.958333,16842,81.8,1,0,0
0,all_other,0.0901,318.05,10.08580911,5.0,722,2009.0416670000002,4698,27.6,4,0,0
1,debt_consolidation,0.0894,171.57,11.22524339,10.48,732,4650.0,45340,61.5,1,0,0
1,debt_consolidation,0.1426,168.1,11.06663836,12.9,687,1140.0,2628,46.9,1,0,0
1,all_other,0.0774,249.75,10.81977828,12.58,782,9692.958333,4071,8.7,1,0,0
1,all_other,0.0712,30.94,11.69524702,0.65,792,3810.041667,2227,3.8,1,0,0
1,credit_card,0.1442,515.74,11.56171563,15.61,697,2040.0416670000002,12352,34.7,1,0,1
1,credit_card,0.0775,149.87,9.903487553,10.26,757,6330.041667,4921,30.4,0,0,0
1,debt_consolidation,0.1122,656.86,10.55986701,14.04,702,1800.0,21777,53.7,3,0,0
1,all_other,0.1221,159.92,11.22524339,9.41,697,3750.0,21069,87.8,0,0,0
1,debt_consolidation,0.1426,806.19,11.06663836,24.88,702,10409.95833,30803,84.4,1,0,0
1,all_other,0.1221,266.52,10.51604813,6.21,717,1589.958333,6883,65.6,0,0,0
1,debt_consolidation,0.1496,692.9,10.89673933,11.78,682,1709.9583329999998,25216,59.9,1,0,0
1,debt_consolidation,0.1347,305.31,11.184421400000002,12.85,687,3510.0,8081,58.1,0,1,0
0,all_other,0.1059,78.11,10.03240833,5.7,672,3150.041667,3613,103.2,1,1,0
0,debt_consolidation,0.1347,118.73,10.14643373,24.24,692,2249.958333,2146,13.1,4,0,0
1,debt_consolidation,0.0894,476.58,11.40756495,8.99,782,10199.95833,17908,20.3,1,0,0
1,educational,0.0976,347.27,11.32176496,11.89,722,8669.041667,8866,24.3,1,0,1
0,home_improvement,0.0832,62.97,10.645424900000002,0.29,727,570.0,305,8.0,2,0,0
0,all_other,0.1482,259.33,11.15625052,25.68,692,6959.958333,64723,69.9,0,0,0
0,debt_consolidation,0.1695,534.41,11.48600638,5.02,677,780.0416667000001,1513,30.9,1,0,0
1,credit_card,0.145,640.24,11.22524339,22.74,682,5969.958333,32682,96.1,0,0,0
1,debt_consolidation,0.0988,322.11,11.54482134,14.44,727,5730.041667,18111,69.1,0,0,0
1,debt_consolidation,0.0774,187.32,10.59663473,11.58,762,3720.041667,1940,12.5,0,0,0
1,home_improvement,0.1197,298.8,11.28978191,19.37,682,9059.041667,26966,70.2,1,0,1
0,debt_consolidation,0.1387,71.65,10.38899537,18.37,657,3720.0,1935,77.4,2,0,0
1,debt_consolidation,0.1253,485.27,10.23995979,15.13,747,4771.0,11423,68.4,0,0,0
1,credit_card,0.1178,99.33,11.12726298,5.29,687,3750.041667,10870,80.5,0,1,0
1,credit_card,0.1229,100.06,10.37349118,13.28,672,4320.0,2940,27.7,1,2,0
1,debt_consolidation,0.1183,165.67,10.49127422,15.17,742,4804.041667,3024,33.26,1,0,0
1,debt_consolidation,0.0859,158.06,10.37349118,14.74,732,3390.0,3192,23.0,2,1,0
1,debt_consolidation,0.0976,241.16,11.11988288,13.55,722,6630.0,41154,47.1,0,0,0
1,debt_consolidation,0.1322,676.02,11.48612964,23.86,707,5090.0,27879,78.3,1,0,0
1,debt_consolidation,0.1418,568.81,11.08460106,14.62,667,3719.958333,11294,61.4,1,1,0
1,debt_consolidation,0.1379,170.38,10.34174248,19.78,682,1229.958333,6130,57.3,3,0,0
1,all_other,0.1148,32.97,10.13459927,11.57,702,5760.0,7569,74.2,2,0,0
1,debt_consolidation,0.1426,521.45,10.66895539,17.19,702,4051.0,18944,97.6,2,0,0
1,debt_consolidation,0.1141,329.34,10.59663473,15.93,692,3539.041667,14643,76.4,0,0,0
1,small_business,0.0743,217.52,10.66895539,1.65,777,2879.0,2698,9.5,0,0,0
1,major_purchase,0.1284,268.95,10.23995979,20.23,702,1320.041667,2259,23.1,3,0,0
1,all_other,0.0859,94.84,11.64780595,0.16,752,1956.0416670000002,531,35.4,0,0,0
1,debt_consolidation,0.1348,678.49,11.64745636,14.67,702,5041.041667,22908,59.2,3,0,0
1,all_other,0.1461,172.38,10.49127422,16.57,742,5400.0,0,34.5,0,0,0
1,debt_consolidation,0.1253,127.18,10.51856508,12.36,732,3749.958333,168,56.0,0,0,0
1,debt_consolidation,0.1774,432.26,11.08214255,24.13,677,5100.0,19714,97.6,0,0,0
1,debt_consolidation,0.1148,799.49,11.73606902,10.41,782,4380.0,9474,21.0,1,0,0
1,credit_card,0.0705,92.7,10.54534144,16.8,772,3270.0,4088,15.0,2,0,0
1,debt_consolidation,0.0951,320.38,10.85127695,9.6,717,1469.0,1346,23.2,2,0,0
1,debt_consolidation,0.0832,188.91,10.59663473,2.82,742,2070.0,4712,25.3,0,0,0
1,debt_consolidation,0.1158,495.21,10.645424900000002,10.4,742,3660.0,15680,44.7,0,0,0
1,home_improvement,0.1253,836.66,11.91839057,2.86,762,3389.958333,14911,34.0,1,0,0
1,all_other,0.0894,317.72,11.04078195,14.78,742,4229.958333,1947,29.1,2,1,0
1,all_other,0.1083,244.94,10.82988702,14.59,707,4050.041667,3800,21.7,1,0,0
1,all_other,0.1311,67.49,10.1266311,6.19,717,4140.041667,0,0.0,0,0,0
1,all_other,0.0963,449.32,11.22524339,1.94,812,3389.958333,45050,6.4,0,0,0
1,credit_card,0.0859,410.94,10.9331784,17.96,777,5669.958333,13368,34.7,2,0,0
1,debt_consolidation,0.1158,231.1,10.59663473,17.37,737,3029.958333,1089,13.8,0,0,1
1,debt_consolidation,0.1322,253.51,11.184421400000002,24.23,692,5250.041667,3290,50.6,1,0,0
1,all_other,0.1253,334.67,11.13458902,11.11,702,3690.0,13827,52.2,1,1,0
0,all_other,0.1071,652.04,11.33857208,0.21,717,1650.041667,39,0.3,11,0,0
1,credit_card,0.0963,320.95,11.00209984,15.7,742,5460.0,34679,57.6,0,0,0
1,debt_consolidation,0.1347,468.14,10.40535315,13.98,697,3719.958333,15670,80.8,0,0,0
1,debt_consolidation,0.08,94.01,10.49127422,2.6,742,4380.0,2456,23.4,0,1,0
1,all_other,0.1426,343.06,11.51292546,8.95,677,4758.0,1459,26.1,1,0,0
0,debt_consolidation,0.1059,325.45,10.1266311,10.22,687,2729.041667,6552,95.0,4,0,0
1,debt_consolidation,0.1531,348.16,10.83958091,8.0,687,2760.041667,11529,96.1,2,0,0
1,debt_consolidation,0.1442,206.3,10.77895629,4.88,662,2100.0,5565,43.1,0,0,0
1,debt_consolidation,0.1311,404.94,10.70126498,22.43,692,5490.0,10337,61.9,0,0,0
1,all_other,0.1236,292.97,10.727663,15.53,677,1848.0,8494,44.2,1,0,0
1,debt_consolidation,0.1322,439.41,10.46310334,22.53,722,3150.041667,6580,88.3,0,0,0
1,debt_consolidation,0.1189,636.75,11.39639165,12.09,727,4829.958333,12982,32.1,1,0,0
1,credit_card,0.1148,824.22,11.09741002,5.89,782,4380.0,3577,9.4,2,0,0
1,credit_card,0.1505,312.23,10.89673933,23.8,682,3360.0,35379,89.4,0,0,0
0,all_other,0.0863,126.52,9.903487553,0.9,732,570.0,37,1.5,3,0,0
1,debt_consolidation,0.0768,165.32,10.33946893,0.58,812,6959.958333,1674,8.8,1,0,0
0,debt_consolidation,0.1028,129.6,9.893437217,5.82,682,539.9583332999999,7276,35.1,4,0,0
1,debt_consolidation,0.1304,107.89,10.53049493,17.18,682,4590.041667,4548,81.2,0,1,0
0,debt_consolidation,0.157,235.44,10.448714599999999,8.7,647,5279.958333,16690,91.2,4,0,0
1,all_other,0.0932,111.82,10.87804719,15.42,727,2340.041667,2880,27.4,0,0,0
1,all_other,0.16699999999999998,170.41,11.2009507,19.98,692,3723.041667,15934,99.0,3,0,0
1,all_other,0.1183,596.41,12.21106019,18.33,732,4470.041667,15715,56.3,2,0,0
1,debt_consolidation,0.1287,504.5,11.65268741,8.35,702,6089.958333,12152,54.2,2,0,1
1,debt_consolidation,0.1316,168.86,10.27394705,23.12,707,2490.0,7058,94.3,3,0,0
1,debt_consolidation,0.0932,415.31,11.40756495,8.51,782,4230.0,9957,29.6,0,0,0
1,credit_card,0.0988,128.85,10.858999,2.47,717,2383.041667,3187,37.1,0,0,0
1,credit_card,0.1183,165.67,11.47210347,23.75,702,7530.041667,66179,40.6,1,0,0
1,credit_card,0.1183,646.12,11.14041146,16.44,737,6570.0,27414,62.4,2,0,0
1,credit_card,0.1253,669.33,11.58988651,15.77,717,12120.0,33900,56.4,1,0,0
1,all_other,0.1357,849.22,12.46843691,9.3,717,7140.041667,19048,50.9,2,0,0
1,debt_consolidation,0.1114,196.83,9.873234509,13.17,732,2550.0,1207,28.1,3,0,0
1,debt_consolidation,0.1148,164.85,11.42081018,3.54,712,5130.0,10842,25.7,1,0,1
1,credit_card,0.0945,128.04,9.903487553,5.16,722,3180.0,3621,14.9,0,0,0
1,credit_card,0.1347,271.39,10.55093105,12.59,687,3420.958333,5545,60.9,3,0,1
0,all_other,0.1568,210.01,11.40756495,8.28,667,3719.958333,13841,44.9,5,1,0
0,credit_card,0.1253,836.66,11.42954386,18.43,727,3180.0,40918,35.5,4,0,0
0,small_business,0.1362,169.97,10.20359214,19.42,657,4589.041667,3959,100.0,2,2,0
1,major_purchase,0.0938,159.89,10.43399815,1.66,732,3287.0,2221,34.2,3,0,0
1,credit_card,0.0751,62.22,10.51053203,21.02,732,8643.041667,9184,21.2,0,0,0
1,all_other,0.0774,109.27,10.66326482,14.23,747,2489.958333,1982,32.5,1,0,0
0,all_other,0.1728,153.02,11.00209984,23.28,642,9450.0,18641,70.6,2,1,1
1,debt_consolidation,0.1496,528.34,10.98529272,24.08,677,5039.958333,22240,84.2,0,0,0
0,debt_consolidation,0.1774,900.53,12.56024446,15.12,677,4470.041667,165867,81.1,0,0,0
1,debt_consolidation,0.0976,241.16,10.02552818,6.74,717,1679.9583329999998,7313,29.6,0,0,0
1,all_other,0.1158,82.54,11.47001796,4.81,702,5070.0,26223,77.4,2,0,0
1,major_purchase,0.1379,272.61,9.952277717000001,11.43,682,3150.0,5142,46.3,2,0,0
1,all_other,0.1322,219.71,11.04292184,9.23,682,4259.958333,4856,44.6,0,0,0
1,all_other,0.1099,163.68,10.858999,6.55,692,3510.041667,958,12.1,1,0,1
1,all_other,0.1099,49.11,11.3736634,20.43,687,12450.0,3438,51.3,3,0,0
1,debt_consolidation,0.1148,652.78,11.66134547,1.29,767,5970.0,4110,34.5,0,0,0
1,debt_consolidation,0.1411,205.38,10.46321762,16.76,677,3600.0,1243,22.6,0,1,0
1,debt_consolidation,0.0859,316.11,10.49127422,3.47,767,4150.041667,9389,22.2,0,0,0
1,major_purchase,0.0774,156.1,10.9331784,5.12,777,4830.0,33215,65.1,2,0,0
1,all_other,0.1183,397.61,11.71993963,15.88,722,7442.0,46336,49.8,2,0,0
1,educational,0.1608,492.76,11.57025053,20.39,677,6269.958333,33627,74.7,1,0,0
1,debt_consolidation,0.0988,483.16,11.51292546,4.12,757,6750.041667,8361,12.1,0,0,0
1,credit_card,0.1025,421.01,10.81977828,13.66,752,5490.0,25444,42.4,1,0,0
1,debt_consolidation,0.1183,497.01,11.38509209,19.7,732,6481.958333,32725,41.9,2,0,0
1,debt_consolidation,0.1126,328.64,11.16472876,11.61,722,6480.0,15116,38.7,2,0,0
1,credit_card,0.1134,493.5,11.33857208,10.49,697,3089.041667,11332,39.7,0,0,0
1,credit_card,0.1316,405.25,10.66895539,7.14,722,1741.0,7879,29.0,2,0,0
1,home_improvement,0.1183,99.41,10.94022444,15.94,697,5309.958333,3066,57.8,1,0,1
1,debt_consolidation,0.0894,406.68,10.4341158,0.18,817,5432.0,306,0.5,0,0,0
0,debt_consolidation,0.1457,186.06,9.998797732,8.73,642,9719.041667,9930,55.2,0,1,0
1,all_other,0.1253,200.8,11.73606902,11.11,687,5190.0,19058,41.8,0,0,0
1,debt_consolidation,0.1357,95.12,11.09922655,11.16,672,5729.958333,26343,83.4,1,0,0
1,small_business,0.1099,261.89,10.53049493,14.36,702,3540.041667,4836,62.8,0,0,0
1,all_other,0.1322,608.42,11.31447453,19.33,702,4838.041667,4556,47.0,1,0,0
0,educational,0.1059,133.44,10.59663473,9.51,682,406.0,705,54.2,2,0,0
1,debt_consolidation,0.0859,410.94,10.47243113,17.63,777,5970.041667,10340,20.2,0,0,0
1,small_business,0.1947,383.73,11.12499689,11.74,662,1512.0,6273,43.6,2,0,0
1,all_other,0.0894,381.26,11.00209984,15.86,792,8100.0,498,0.4,0,0,0
1,all_other,0.1218,166.5,9.586925781,10.95,697,2250.0,3753,51.4,0,0,0
1,debt_consolidation,0.1287,504.5,11.3736634,13.38,707,5667.041667,14045,29.4,1,0,0
1,educational,0.1062,73.26,10.87804719,13.86,722,9150.0,3860,91.9,2,0,0
1,debt_consolidation,0.1474,379.91,10.85892207,10.87,677,2790.041667,11419,84.6,1,1,0
1,educational,0.1136,52.66,10.1266311,0.96,702,3210.041667,66,0.5,2,0,1
0,credit_card,0.1355,220.74,11.308358300000002,10.95,657,4620.0,4037,21.1,0,0,0
